,Movie,Released Year,Certificate,Duration,Genre,Rating,Metascore,Votes
181, The New York Times Presents,2020– ,TV-MA,74 min,Documentary,6.9,Not available,"5,953"
182,Jathi Ratnalu,2021,145 min,145 min,Comedy,7.6,Not available,"5,896"
183,Allen v. Farrow,2021,TV-MA,256 min,"Documentary, Biography, Crime",6.4,Not available,"5,874"
184, The Family Man,2019– ,TV-14,Not available,"Action, Comedy, Drama",9.3,Not available,"5,871"
185,Billie Eilish: The World's a Little Blurry,2021,R,140 min,"Documentary, Biography, Music",7.8,70,"5,847"
186,Crisis,2021,R,118 min,"Drama, Thriller",6.1,41,"5,767"
187," Love, Death & Robots",2019– ,TV-MA,7 min,"Animation, Short, Comedy",7.4,Not available,"5,762"
188,The Pembrokeshire Murders,2021,TV-14,144 min,"Crime, Drama",7.1,Not available,"5,741"
189, Aspirants,2021– ,49 min,49 min,Drama,9.8,Not available,"5,713"
190,Pretend It's a City,2021,TV-14,203 min,"Documentary, Biography, Comedy",8.1,Not available,"5,699"
191,The Great Indian Kitchen,2021,100 min,100 min,"Comedy, Drama",8.3,Not available,"5,642"
192," Love, Death & Robots",2019– ,TV-MA,11 min,"Animation, Short, Comedy",7.0,Not available,"5,631"
193,Dracula,2021– ,"
Comedy, Drama            ",Not available,"Comedy, Drama",8.8,Not available,"5,621"
194, The Walking Dead,2010–2022,TV-MA,40 min,"Drama, Horror, Thriller",5.1,Not available,"5,616"
195,The Sons of Sam: A Descent into Darkness,2021,TV-MA,239 min,"Documentary, Crime, History",7.0,Not available,"5,531"
196," Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",7.0,Not available,"5,468"
197, Aspirants,2021– ,45 min,45 min,Drama,9.7,Not available,"5,452"
198,Hacks,2021– ,TV-MA,30 min,"Comedy, Drama",8.3,Not available,"5,440"
199, Rick and Morty,2013– ,TV-14,Not available,"Animation, Adventure, Comedy",9.1,Not available,"5,416"
200, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.6,Not available,"5,410"
201,Young Rock,2021– ,TV-PG,Not available,Comedy,7.1,Not available,"5,333"
202,Krack,2021,Not Rated,154 min,"Action, Crime, Thriller",7.3,Not available,"5,326"
203,November Story,2021– ,40 min,40 min,"Crime, Thriller",8.0,Not available,"5,299"
204," Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",6.6,Not available,"5,289"
205,The Last Hour,2021– ,36 min,36 min,"Crime, Drama, Mystery",7.5,Not available,"5,254"
206, Invincible,2021– ,TV-MA,46 min,"Animation, Action, Adventure",9.3,Not available,"5,253"
207,Made for Love,2021– ,TV-MA,30 min,"Comedy, Drama, Sci-Fi",6.9,Not available,"5,196"
208,Maharani,2021– ,43 min,43 min,Drama,7.5,Not available,"5,082"
209,Katla,2021– ,TV-MA,Not available,"Drama, Mystery, Sci-Fi",7.1,Not available,"5,065"
210,The Priest,I 2021,140 min,140 min,"Horror, Mystery, Thriller",6.6,Not available,"5,064"
211, Invincible,2021– ,TV-MA,44 min,"Animation, Action, Adventure",8.6,Not available,"4,867"
212, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.5,Not available,"4,858"
213, The Walking Dead,2010–2022,TV-MA,44 min,"Drama, Horror, Thriller",6.2,Not available,"4,828"
